TappingTechniques  ,Month ,Tree,GumYield.gm
T1,January,Tree1,0.7
T2,January ,Tree1,12.7
T3,January,Tree1,0
T4,January,Tree1,22.8
T5,January,Tree1,16.8
T6,January,Tree1,20.8
T7,January,Tree1,16
T8,January,Tree1,0
T1,February,Tree1,0
T2,February ,Tree1,32.3
T3,February,Tree1,1.2
T4,February,Tree1,81.6
T5,February,Tree1,35.9
T6,February,Tree1,46.2
T7,February,Tree1,4.7
T8,February,Tree1,0
T1,March,Tree1,2.1
T2,March,Tree1,30.9
T3,March,Tree1,0
T4,March,Tree1,81.3
T5,March,Tree1,9
T6,March,Tree1,42.5
T7,March,Tree1,0
T8,March,Tree1,1.4
T1,April,Tree1,0
T2,April,Tree1,12.8
T3,April,Tree1,2.7
T4,April,Tree1,65.4
T5,April,Tree1,1.1
T6,April,Tree1,39
T7,April,Tree1,0
T8,April,Tree1,0
T1,May,Tree1,0
T2,May,Tree1,17.5
T3,May,Tree1,3.3
T4,May,Tree1,84.3
T5,May,Tree1,13.4
T6,May,Tree1,117.2
T7,May,Tree1,0
T8,May,Tree1,0
T1,June,Tree1,0
T2,June,Tree1,12.9
T3,June,Tree1,0
T4,June,Tree1,67.1
T5,June,Tree1,0
T6,June,Tree1,62.8
T7,June,Tree1,3.6
T8,June,Tree1,0
T1,July,Tree1,0
T2,July,Tree1,32.1
T3,July,Tree1,4.7
T4,July,Tree1,26.2
T5,July,Tree1,0
T6,July,Tree1,0
T7,July,Tree1,0
T8,July,Tree1,0
T1,August,Tree1,0
T2,August,Tree1,7.8
T3,August,Tree1,0
T4,August,Tree1,11.1
T5,August,Tree1,10.6
T6,August,Tree1,9.2
T7,August,Tree1,0
T8,August,Tree1,0
T1,September,Tree1,0
T2,September,Tree1,14.6
T3,September,Tree1,8
T4,September,Tree1,7.6
T5,September,Tree1,0
T6,September,Tree1,3.9
T7,September,Tree1,0
T8,September,Tree1,0
T1,October,Tree1,0
T2,October,Tree1,0
T3,October,Tree1,0
T4,October,Tree1,0
T5,October,Tree1,0
T6,October,Tree1,0
T7,October,Tree1,0
T8,October,Tree1,0
T1,November,Tree1,9.1
T2,November,Tree1,22.9
T3,November,Tree1,7.4
T4,November,Tree1,33
T5,November,Tree1,6
T6,November,Tree1,31.4
T7,November,Tree1,1.3
T8,November,Tree1,0
T1,December,Tree1,5.9
T2,December,Tree1,9.8
T3,December,Tree1,2.1
T4,December,Tree1,9.4
T5,December,Tree1,0
T6,December,Tree1,21.3
